Company,Product,TypeName,Inches,ScreenResolution,CPU_Frequency (GHz),RAM (GB),Memory,OpSys,Weight (kg),Price,CPU,GPU,Memory_Type,GPU_Type,Memory_Type_Score,GPU_Type_Score,Price_Range
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,1.8,8,128GB SSD +  1TB HDD,Linux,2.8,1099,Intel Core i7 8550U,AMD Radeon 530,Hybrid,Integrated,2.5,1,Mid Budget
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,1.8,8,1TB HDD,Windows 10,2.2,745,Intel Core i7 8550U,Nvidia GeForce MX130,HDD,Integrated,1.0,1,Mid Budget
Lenovo,IdeaPad 320-17ISK,Notebook,17.3,1600x900,2.0,4,1TB HDD,Windows 10,2.8,489,Intel Core i3 6006U,Intel HD Graphics 520,HDD,Integrated,1.0,1,Low Budget
Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,Full HD 1920x1080,1.8,8,2TB HDD,No OS,2.8,849,Intel Core i7 8550U,Nvidia GeForce MX150,HDD,Integrated,1.0,1,Mid Budget
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,2.7,6,128GB SSD +  1TB HDD,Windows 10,2.8,859,Intel Core i7 7500U,Nvidia GeForce 940MX,Hybrid,Integrated,2.5,1,Mid Budget
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,2.0,4,1TB HDD,Linux,2.25,428,Intel Core i3 6006U,AMD Radeon R5 M430,HDD,Integrated,1.0,1,Low Budget
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,2.5,829,Intel Core i5 7300HQ,Nvidia GeForce GTX 1050,SSD,Integrated,3.0,1,Mid Budget
Lenovo,Ideapad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,2.5,6,256GB SSD,Windows 10,2.2,579,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Low Budget
Acer,Aspire A517-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,1.8,8,256GB SSD,Windows 10,3.0,951,Intel Core i7 8550U,Nvidia GeForce MX150,SSD,Integrated,3.0,1,Mid Budget
Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,2.7,12,1TB HDD,Windows 10,2.15,659,Intel Core i7 7500U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Mid Budget
Lenovo,Thinkpad T570,Notebook,15.6,IPS Panel Full HD 1920x1080,2.7,8,256GB SSD,Windows 10,1.95,1097,Intel Core i7 7500U,Intel HD Graphics 630,SSD,Integrated,3.0,1,Mid Budget
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,1.7,977,Intel Core i5 7200U,Nvidia GeForce 940MX,SSD,Integrated,3.0,1,Mid Budget
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,2.8,16,256GB SSD +  1TB HDD,Windows 10,2.5,1179,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050 Ti,Hybrid,Integrated,2.5,1,Mid Budget
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,2.7,8,1TB HDD,No OS,2.2,659,Intel Core i7 7500U,Nvidia GeForce 940MX,HDD,Integrated,1.0,1,Mid Budget
Acer,Chromebook C910-C2ST,Notebook,15.6,1366x768,1.5,2,16GB SSD,Chrome OS,2.19,199,Intel Celeron Dual Core 3205U,Intel HD Graphics,SSD,Integrated,3.0,1,Low Budget
Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,2.8,8,1TB HDD,Windows 10,3.0,1187,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050,HDD,Integrated,1.0,1,Mid Budget
HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Notebook,17.3,1600x900,2.0,8,1TB HDD,Windows 10,2.54,489,Intel Core i3 6006U,Intel HD Graphics 520,HDD,Integrated,1.0,1,Low Budget
Dell,XPS 15,Notebook,15.6,Full HD 1920x1080,2.8,8,256GB SSD,Windows 10,2.0,1829,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050,SSD,Integrated,3.0,1,High Budget
Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,1.6,8,256GB SSD,Windows 10,2.05,739,Intel Core i5 8250U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,2.8,8,1TB HDD,Windows 10,3.2,1299,Intel Core i7 7700HQ,Nvidia GeForce GTX 1060,HDD,Integrated,1.0,1,Mid Budget
Acer,Aspire A715-71G,Notebook,15.6,Full HD 1920x1080,2.8,8,256GB SSD,Linux,2.5,979,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050 Ti,SSD,Integrated,3.0,1,Mid Budget
Dell,Precision 7720,Workstation,17.3,Full HD 1920x1080,2.9,16,256GB SSD,Windows 10,3.42,2884,Intel Core i7 7820HQ,Nvidia Quadro M1200,SSD,Integrated,3.0,1,High Budget
Lenovo,IdeaPad 310-15ABR,Notebook,15.6,Full HD 1920x1080,2.4,6,1TB HDD,Windows 10,2.4,499,AMD A10-Series 9600P,AMD Radeon R5 430,HDD,Integrated,1.0,1,Low Budget
Asus,ZenBook UX530UQ-PRO,Ultrabook,15.6,Full HD 1920x1080,2.7,16,512GB SSD,Windows 10,1.63,1468,Intel Core i7 7500U,Nvidia GeForce 940MX,SSD,Integrated,3.0,1,Mid Budget
Asus,VivoBook S14,Notebook,14.0,1366x768,2.4,4,128GB SSD,Windows 10,1.3,509,Intel Core i3 7100U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Low Budget
Asus,Rog GL702VS-GC095T,Gaming,17.3,Full HD 1920x1080,2.8,16,256GB SSD +  1TB HDD,Windows 10,2.9,2122,Intel Core i7 7700HQ,Nvidia GeForce GTX 1070,Hybrid,Integrated,2.5,1,High Budget
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,2.5,6,1TB HDD,Windows 10,2.8,649,Intel Core i5 7200U,Nvidia GeForce GTX 940M,HDD,Integrated,1.0,1,Mid Budget
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,2.5,8,2TB HDD,No OS,2.2,549,Intel Core i5 7200U,Nvidia GeForce 940MX,HDD,Integrated,1.0,1,Low Budget
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,Full HD 1920x1080,2.8,8,128GB SSD +  1TB HDD,Windows 10,2.5,1265,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050 Ti,Hybrid,Integrated,2.5,1,Mid Budget
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,1.1,4,1TB HDD,No OS,2.2,359,Intel Pentium Quad Core N4200,Intel HD Graphics 505,HDD,Integrated,1.0,1,Low Budget
HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,2.8,16,256GB SSD,Windows 10,1.28,1975,Intel Core i7 7600U,Intel HD Graphics 620,SSD,Integrated,3.0,1,High Budget
Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,2.2,1043,Intel Core i7 6500U,Nvidia GeForce 930M,SSD,Integrated,3.0,1,Mid Budget
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,2.5,8,128GB SSD +  1TB HDD,Windows 10,2.3,819,Intel Core i5 7200U,Nvidia GeForce 940MX,Hybrid,Integrated,2.5,1,Mid Budget
HP,250 G6,Notebook,15.6,Full HD 1920x1080,2.0,4,1TB HDD,Windows 10,1.86,469,Intel Core i3 6006U,Intel HD Graphics 520,HDD,Integrated,1.0,1,Low Budget
Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,IPS Panel Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,1.1,999,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Dell,XPS 13,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,1.8,16,1TB SSD,Windows 10,1.21,2499,Intel Core i7 8550U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,High Budget
MSI,GE63VR 7RF,Gaming,15.6,IPS Panel Full HD 1920x1080,2.8,16,256GB SSD +  1TB HDD,Windows 10,2.8,2099,Intel Core i7 7700HQ,Nvidia GeForce GTX 1070,Hybrid,Integrated,2.5,1,High Budget
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,2.2,8,256GB SSD,Windows 10,2.23,469,AMD A8-Series 7410,AMD Radeon R5,SSD,Integrated,3.0,1,Low Budget
Asus,VivoBook Flip,2 in 1 Convertible,11.6,Touchscreen 1366x768,1.1,2,32GB Flash Storage,Windows 10,1.1,275,Intel Celeron Dual Core N3350,Intel HD Graphics 500,Flash Storage,Integrated,2.0,1,Low Budget
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,1.6,8,128GB SSD +  1TB HDD,Windows 10,2.33,844,Intel Core i5 8250U,AMD Radeon 530,Hybrid,Integrated,2.5,1,Mid Budget
HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,1.8,16,1TB SSD,Windows 10,1.29,2449,Intel Core i7 8550U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,High Budget
Lenovo,ThinkPad 13,Notebook,13.3,1366x768,1.6,4,16GB Flash Storage,Chrome OS,1.45,459,Intel Celeron Dual Core 3855U,Intel HD Graphics 510,Flash Storage,Integrated,2.0,1,Low Budget
HP,ProBook 640,Notebook,14.0,Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,1.95,980,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Acer,TravelMate B,Notebook,11.6,1366x768,1.6,4,128GB Flash Storage,Windows 10,1.4,485,Intel Pentium Quad Core N3710,Intel HD Graphics 405,Flash Storage,Integrated,2.0,1,Low Budget
HP,Elitebook 840,Notebook,14.0,Full HD 1920x1080,2.7,8,256GB SSD,Windows 10,1.48,1292,Intel Core i7 7500U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,2.5,4,1TB HDD,Windows 10,2.79,589,Intel Core i5 7200U,Nvidia GeForce 920MX,HDD,Integrated,1.0,1,Low Budget
Asus,ZenBook UX410UA-GV183T,Notebook,14.0,Full HD 1920x1080,2.7,8,256GB SSD,Windows 10,2.0,1094,Intel Core i7 7500U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1366x768,1.8,8,1TB HDD,Windows 10,2.1,902,Intel Core i7 8550U,Intel UHD Graphics 620,HDD,Integrated,1.0,1,Mid Budget
Acer,Aspire 5,Notebook,15.6,1366x768,2.7,8,256GB SSD,Windows 10,2.2,659,AMD A12-Series 9720P,AMD Radeon RX 540,SSD,Discrete,3.0,2,Mid Budget
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,1.1,4,32GB Flash Storage,Windows 10,1.44,292,Intel Celeron Dual Core N3350,Intel HD Graphics 500,Flash Storage,Integrated,2.0,1,Low Budget
Acer,Aspire E5-575,Notebook,15.6,1366x768,2.5,6,1TB HDD,Windows 10,2.23,549,Intel Core i5 7200U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Low Budget
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,2.7,8,256GB SSD,Windows 10,1.7,1049,Intel Core i7 7500U,Nvidia GeForce 940MX,SSD,Integrated,3.0,1,Mid Budget
HP,Elitebook 820,Ultrabook,12.5,Full HD 1920x1080,2.7,8,256GB SSD,Windows 10,1.26,1335,Intel Core i7 7500U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,2.8,32,1TB SSD,Windows 10,2.06,2639,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050,SSD,Integrated,3.0,1,High Budget
MSI,GL72M 7REX,Gaming,17.3,Full HD 1920x1080,2.8,8,256GB SSD +  1TB HDD,Windows 10,2.7,1199,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050 Ti,Hybrid,Integrated,2.5,1,Mid Budget
Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,2.0,943,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,Full HD 1920x1080,2.7,8,256GB SSD +  1TB HDD,Windows 10,2.0,1334,Intel Core i7 7500U,Intel HD Graphics 620,Hybrid,Integrated,2.5,1,Mid Budget
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,2.0,4,1TB HDD,Windows 10,1.85,449,Intel Core i3 6006U,Intel HD Graphics 520,HDD,Integrated,1.0,1,Low Budget
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,Full HD 1920x1080,2.8,8,256GB SSD,Windows 10,2.5,999,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050,SSD,Integrated,3.0,1,Mid Budget
HP,EliteBook 840,Notebook,14.0,Full HD 1920x1080,2.6,8,256GB SSD,Windows 10,1.48,1268,Intel Core i5 7300U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Dell,Inspiron 7570,Ultrabook,15.6,IPS Panel Full HD 1920x1080,1.6,8,128GB SSD +  1TB HDD,Windows 10,1.9,1049,Intel Core i5 8250U,Nvidia GeForce 940MX,Hybrid,Integrated,2.5,1,Mid Budget
HP,Elitebook 850,Notebook,15.6,Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,1.84,1144,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,1366x768,1.1,4,1TB HDD,Linux,2.0,274,Intel Celeron Dual Core N3350,Intel HD Graphics 500,HDD,Integrated,1.0,1,Low Budget
Dell,Inspiron 7570,Notebook,15.6,Full HD 1920x1080,1.6,8,256GB SSD,Windows 10,2.0,1142,Intel Core i5 8250U,Nvidia GeForce 940MX,SSD,Integrated,3.0,1,Mid Budget
Dell,Inspiron 3552,Notebook,15.6,1366x768,1.6,4,500GB HDD,Linux,2.2,274,Intel Celeron Dual Core N3060,Intel HD Graphics,HDD,Integrated,1.0,1,Low Budget
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,Full HD 1920x1080,3.6,12,2TB HDD,Windows 10,2.2,899,AMD A12-Series 9720P,AMD Radeon 530,HDD,Integrated,1.0,1,Mid Budget
HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1920x1080,2.4,8,1TB HDD,Windows 10,2.1,716,Intel Core i3 7100U,Nvidia GeForce 930MX,HDD,Integrated,1.0,1,Mid Budget
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,1.8,16,512GB SSD,Windows 10,1.4,2099,Intel Core i7 8550U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,High Budget
Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,1.8,8,256GB SSD,Windows 10,1.2,1579,Intel Core i7 8550U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,High Budget
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,2.8,16,256GB SSD +  2TB HDD,Windows 10,2.4,1129,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050 Ti,Hybrid,Integrated,2.5,1,Mid Budget
HP,Stream 14-AX001nv,Notebook,14.0,1366x768,1.6,2,32GB Flash Storage,Windows 10,1.44,279,Intel Celeron Dual Core N3060,Intel HD Graphics 400,Flash Storage,Integrated,2.0,1,Low Budget
Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,1.9,16,512GB SSD +  256GB SSD,Windows 10,1.88,1607,Intel Core i7 8650U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,High Budget
Asus,VivoBook Flip,2 in 1 Convertible,11.6,Touchscreen 1366x768,1.1,4,32GB Flash Storage,Windows 10,1.5,375,Intel Celeron Dual Core N3350,Intel HD Graphics 500,Flash Storage,Integrated,2.0,1,Low Budget
Dell,Inspiron 5570,Ultrabook,15.6,Full HD 1920x1080,1.6,8,1TB HDD,Windows 10,1.9,663,Intel Core i5 8250U,AMD Radeon 530,HDD,Integrated,1.0,1,Mid Budget
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,2.8,16,512GB SSD,Windows 10,2.06,2027,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050,SSD,Integrated,3.0,1,High Budget
HP,Elitebook 850,Notebook,15.6,Full HD 1920x1080,2.7,8,256GB SSD,Windows 10,1.84,1304,Intel Core i7 7500U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
MSI,GP72MVR 7RFX,Gaming,17.3,Full HD 1920x1080,2.8,8,128GB SSD +  1TB HDD,Windows 10,2.7,1409,Intel Core i7 7700HQ,Nvidia GeForce GTX 1060,Hybrid,Integrated,2.5,1,Mid Budget
HP,Zbook 15,Workstation,15.6,Full HD 1920x1080,2.8,8,256GB SSD,Windows 10,2.6,1738,Intel Core i7 7700HQ,Nvidia Quadro M1200,SSD,Integrated,3.0,1,High Budget
Toshiba,Tecra A50-C-21G,Notebook,15.6,IPS Panel Full HD 1920x1080,2.5,16,512GB SSD,Windows 10,2.4,1403,Intel Core i7 6500U,Nvidia GeForce 930M,SSD,Integrated,3.0,1,Mid Budget
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,1.8,8,128GB SSD +  2TB HDD,Windows 10,2.02,970,Intel Core i7 8550U,AMD Radeon 530,Hybrid,Integrated,2.5,1,Mid Budget
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,1.1,4,1TB HDD,No OS,2.2,321,Intel Celeron Dual Core N3350,Intel HD Graphics 500,HDD,Integrated,1.0,1,Low Budget
Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,2.5,8,1TB HDD,Windows 10,2.65,999,Intel Core i5 7300HQ,Nvidia GeForce GTX 1050,HDD,Integrated,1.0,1,Mid Budget
Dell,Inspiron 3567,Notebook,15.6,Touchscreen 1366x768,2.5,8,2TB HDD,Windows 10,2.36,557,Intel Core i5 7200U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Low Budget
Dell,Latitude 7480,Notebook,14.0,Full HD 1920x1080,2.6,8,256GB SSD,Windows 10,1.36,1427,Intel Core i5 7300U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
HP,250 G6,Notebook,15.6,1366x768,2.0,4,500GB HDD,Windows 10,1.86,439,Intel Core i3 6006U,Intel HD Graphics 520,HDD,Integrated,1.0,1,Low Budget
Asus,Zenbook UX410UA-GV027T,Notebook,14.0,Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,2.0,945,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,2.5,6,128GB SSD +  1TB HDD,Windows 10,2.8,719,Intel Core i5 7200U,Nvidia GeForce GTX 940MX,Hybrid,Integrated,2.5,1,Mid Budget
HP,250 G6,Notebook,15.6,Full HD 1920x1080,2.5,8,1TB HDD,Windows 10,1.86,639,Intel Core i5 7200U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Mid Budget
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,2.0,8,256GB SSD,No OS,2.2,499,Intel Core i3 6006U,Nvidia GeForce 920MX,SSD,Integrated,3.0,1,Low Budget
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,1366x768,1.6,8,2TB HDD,Windows 10,2.04,389,Intel Pentium Quad Core N3710,Intel HD Graphics 405,HDD,Integrated,1.0,1,Low Budget
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,1.6,8,128GB SSD +  1TB HDD,Windows 10,2.8,1085,Intel Core i5 8250U,AMD Radeon 530,Hybrid,Integrated,2.5,1,Mid Budget
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,2.5,8,128GB SSD +  1TB HDD,No OS,2.4,809,Intel Core i5 7300HQ,Nvidia GeForce GTX 1050,Hybrid,Integrated,2.5,1,Mid Budget
Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,2.7,8,256GB SSD,Windows 10,2.33,899,Intel Core i7 7500U,AMD Radeon R7 M445,SSD,Integrated,3.0,1,Mid Budget
HP,Elitebook 1040,Ultrabook,14.0,IPS Panel Full HD 1920x1080,2.7,8,256GB SSD,Windows 10,1.36,1750,Intel Core i7 7500U,Intel HD Graphics 620,SSD,Integrated,3.0,1,High Budget
Asus,ZenBook Flip,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,2.7,12,512GB SSD +  2TB HDD,Windows 10,2.26,1099,Intel Core i7 7500U,Nvidia GeForce GT 940MX,Hybrid,Integrated,2.5,1,Mid Budget
Acer,Aspire 3,Notebook,15.6,1366x768,3.0,4,128GB SSD,Windows 10,2.1,426,AMD A9-Series 9420,AMD Radeon R5,SSD,Integrated,3.0,1,Low Budget
Asus,Rog Strix,Gaming,17.3,IPS Panel Full HD 1920x1080,3.0,16,256GB SSD +  1TB HDD,Windows 10,3.25,2199,AMD Ryzen 1700,AMD Radeon RX 580,Hybrid,Discrete,2.5,2,High Budget
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,1600x900,2.2,4,128GB SSD,Windows 10,2.6,489,AMD A8-Series 7410,AMD Radeon R5,SSD,Integrated,3.0,1,Low Budget
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,1.8,8,256GB SSD,Windows 10,1.62,869,Intel Core i7 8550U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,3.0,4,256GB SSD,Windows 10,1.91,488,AMD A9-Series 9420,AMD Radeon R5,SSD,Integrated,3.0,1,Low Budget
Lenovo,Yoga 11e,Netbook,11.6,IPS Panel 1366x768,1.1,4,128GB SSD,Windows 10,1.59,553,Intel Celeron Quad Core N3450,Intel HD Graphics 500,SSD,Integrated,3.0,1,Low Budget
Dell,Inspiron 3552,Notebook,15.6,1366x768,1.6,4,500GB HDD,Windows 10,1.8,309,Intel Celeron Dual Core N3060,Intel HD Graphics 400,HDD,Integrated,1.0,1,Low Budget
Asus,VivoBook E403NA,Notebook,14.0,1366x768,1.1,4,32GB Flash Storage,Windows 10,1.5,286,Intel Celeron Dual Core N3350,Intel HD Graphics 500,Flash Storage,Integrated,2.0,1,Low Budget
Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,2.8,8,1TB HDD,Linux,2.4,846,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050,HDD,Integrated,1.0,1,Mid Budget
HP,Omen 17-w212nv,Gaming,17.3,IPS Panel Full HD 1920x1080,2.8,8,128GB SSD +  1TB HDD,Windows 10,3.35,1191,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050,Hybrid,Integrated,2.5,1,Mid Budget
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,Full HD 1920x1080,2.0,4,128GB SSD,No OS,1.85,403,Intel Core i3 6006U,Intel HD Graphics 520,SSD,Integrated,3.0,1,Low Budget
Asus,ROG Strix,Gaming,15.6,IPS Panel Full HD 1920x1080,2.8,8,128GB SSD +  1TB HDD,Windows 10,2.3,1655,Intel Core i7 7700HQ,Nvidia GeForce GTX 1060,Hybrid,Integrated,2.5,1,High Budget
Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,1.5,1099,Intel Core i5 7200U,Nvidia GeForce 940MX,SSD,Integrated,3.0,1,Mid Budget
Asus,Zenbook Flip,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,2.7,16,512GB SSD,Windows 10,1.1,1748,Intel Core i7 7500U,Intel HD Graphics 620,SSD,Integrated,3.0,1,High Budget
Lenovo,Thinkpad X1,Ultrabook,14.0,IPS Panel 2560x1440,2.7,8,512GB SSD,Windows 10,1.13,2282,Intel Core i7 7500U,Intel HD Graphics 620,SSD,Integrated,3.0,1,High Budget
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,IPS Panel Full HD 1920x1080,2.4,4,128GB SSD,Windows 10,1.5,549,Intel Core i3 7100U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Low Budget
Dell,Precision 3510,Workstation,15.6,Full HD 1920x1080,2.6,8,500GB HDD,Windows 10,2.23,1369,Intel Core i5 6440HQ,AMD FirePro W5130M,HDD,Integrated,1.0,1,Mid Budget
Dell,Precision 5520,Workstation,15.6,IPS Panel Full HD 1920x1080,2.7,8,256GB SSD,Windows 10,2.0,2135,Intel Core i7 6820HQ,Nvidia Quadro M1200,SSD,Integrated,3.0,1,High Budget
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Touchscreen 2560x1440,2.7,16,512GB SSD,Windows 10,1.42,2509,Intel Core i7 7500U,Intel HD Graphics 620,SSD,Integrated,3.0,1,High Budget
Asus,Rog GL753VD-GC042T,Gaming,17.3,Full HD 1920x1080,2.8,8,1TB HDD,Windows 10,3.0,1039,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050,HDD,Integrated,1.0,1,Mid Budget
Asus,Rog GL753VE-GC070T,Gaming,17.3,Full HD 1920x1080,2.8,16,256GB SSD +  1TB HDD,Windows 10,3.0,1591,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050 Ti,Hybrid,Integrated,2.5,1,High Budget
Acer,Aspire 5,Notebook,15.6,IPS Panel 1366x768,1.6,12,1TB HDD,Windows 10,2.2,693,Intel Core i5 8250U,Nvidia GeForce MX130,HDD,Integrated,1.0,1,Mid Budget
MSI,Leopard GP72M,Gaming,17.3,Full HD 1920x1080,2.8,8,256GB SSD,Windows 10,2.7,1349,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050 Ti,SSD,Integrated,3.0,1,Mid Budget
Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,2.7,8,256GB SSD,Linux,2.33,778,Intel Core i7 7500U,AMD Radeon R7 M445,SSD,Integrated,3.0,1,Mid Budget
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,Full HD 1920x1080,3.0,4,256GB SSD,Windows 10,1.91,499,AMD A9-Series 9420,AMD Radeon 520,SSD,Integrated,3.0,1,Low Budget
Lenovo,ThinkPad E580,Notebook,15.6,IPS Panel Full HD 1920x1080,1.8,8,256GB SSD,Windows 10,2.1,1229,Intel Core i7 8550U,AMD Radeon RX 550,SSD,Discrete,3.0,2,Mid Budget
Lenovo,ThinkPad L470,Notebook,14.0,IPS Panel Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,1.9,938,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
